Tum Ogrenciler:
Ad: selver, Numara: 102, Vize: 98, 2. Sinav: 82, Odev: 79, Final: 96, Yoklama: 14
Ad: ayça, Numara: 393, Vize: 22, 2. Sinav: 4, Odev: 31, Final: 89, Yoklama: 9
Ad: ceylan, Numara: 394, Vize: 46, 2. Sinav: 44, Odev: 31, Final: 12, Yoklama: 10
Ad: osman, Numara: 398, Vize: 78, 2. Sinav: 95, Odev: 12, Final: 36, Yoklama: 13
Ad: veli, Numara: 421, Vize: 10, 2. Sinav: 80, Odev: 60, Final: 55, Yoklama: 13
Ad: derya, Numara: 422, Vize: 98, 2. Sinav: 85, Odev: 89, Final: 90, Yoklama: 13
Ad: fatma, Numara: 423, Vize: 46, 2. Sinav: 64, Odev: 90, Final: 35, Yoklama: 8
Ad: veli, Numara: 432, Vize: 50, 2. Sinav: 78, Odev: 93, Final: 65, Yoklama: 8
Ad: yunus, Numara: 455, Vize: 95, 2. Sinav: 75, Odev: 24, Final: 69, Yoklama: 14
Ad: Hakkı, Numara: 457, Vize: 54, 2. Sinav: 87, Odev: 56, Final: 23, Yoklama: 14
Ad: pırıl, Numara: 458, Vize: 65, 2. Sinav: 23, Odev: 86, Final: 38, Yoklama: 3
Ad: Gizemsu, Numara: 460, Vize: 6, 2. Sinav: 52, Odev: 38, Final: 2, Yoklama: 9
Ad: safinaz, Numara: 468, Vize: 42, 2. Sinav: 76, Odev: 9, Final: 18, Yoklama: 9
Ad: bilge, Numara: 472, Vize: 64, 2. Sinav: 49, Odev: 93, Final: 5, Yoklama: 3
Ad: berkay, Numara: 475, Vize: 69, 2. Sinav: 14, Odev: 74, Final: 56, Yoklama: 4
Ad: hüsnü, Numara: 480, Vize: 19, 2. Sinav: 45, Odev: 44, Final: 53, Yoklama: 8
Ad: sedef, Numara: 486, Vize: 45, 2. Sinav: 52, Odev: 80, Final: 98, Yoklama: 12
Ad: arda, Numara: 504, Vize: 27, 2. Sinav: 99, Odev: 86, Final: 51, Yoklama: 11
Ad: belgin, Numara: 531, Vize: 32, 2. Sinav: 18, Odev: 52, Final: 89, Yoklama: 4
Ad: ilker, Numara: 533, Vize: 48, 2. Sinav: 14, Odev: 46, Final: 88, Yoklama: 8
Ad: Harun, Numara: 532, Vize: 43, 2. Sinav: 4, Odev: 46, Final: 62, Yoklama: 12
Ad: Muhammed, Numara: 543, Vize: 57, 2. Sinav: 23, Odev: 25, Final: 87, Yoklama: 12
Ad: Hasan, Numara: 544, Vize: 23, 2. Sinav: 54, Odev: 54, Final: 23, Yoklama: 12
Ad: Ümit, Numara: 545, Vize: 22, 2. Sinav: 55, Odev: 75, Final: 100, Yoklama: 17
Ad: zeki, Numara: 547, Vize: 53, 2. Sinav: 41, Odev: 17, Final: 46, Yoklama: 8
Ad: idris, Numara: 555, Vize: 56, 2. Sinav: 87, Odev: 7, Final: 81, Yoklama: 10
Ad: Edanur , Numara: 560, Vize: 90, 2. Sinav: 85, Odev: 83, Final: 96, Yoklama: 10
Ad: gamze , Numara: 573, Vize: 28, 2. Sinav: 61, Odev: 81, Final: 70, Yoklama: 13
Ad: Hayri, Numara: 586, Vize: 84, 2. Sinav: 48, Odev: 5, Final: 17, Yoklama: 2
Ad: eyşan, Numara: 602, Vize: 81, 2. Sinav: 23, Odev: 25, Final: 73, Yoklama: 7
Ad: meryem, Numara: 608, Vize: 88, 2. Sinav: 78, Odev: 81, Final: 61, Yoklama: 11
Ad: dilek, Numara: 627, Vize: 37, 2. Sinav: 79, Odev: 100, Final: 21, Yoklama: 10
Ad: mehtap, Numara: 648, Vize: 11, 2. Sinav: 10, Odev: 5, Final: 94, Yoklama: 3
Ad: ali, Numara: 650, Vize: 76, 2. Sinav: 55, Odev: 55, Final: 90, Yoklama: 9
Ad: akif, Numara: 656, Vize: 52, 2. Sinav: 36, Odev: 49, Final: 84, Yoklama: 2
Ad: Erdem , Numara: 677, Vize: 60, 2. Sinav: 70, Odev: 80, Final: 90, Yoklama: 14
Ad: beytullah, Numara: 682, Vize: 35, 2. Sinav: 70, Odev: 65, Final: 90, Yoklama: 8
Ad: gizem, Numara: 683, Vize: 8, 2. Sinav: 30, Odev: 42, Final: 96, Yoklama: 4
Ad: osman, Numara: 685, Vize: 44, 2. Sinav: 12, Odev: 55, Final: 92, Yoklama: 12
Ad: Ertuğrul, Numara: 686, Vize: 68, 2. Sinav: 84, Odev: 57, Final: 72, Yoklama: 9
Ad: emre, Numara: 695, Vize: 38, 2. Sinav: 25, Odev: 27, Final: 4, Yoklama: 2
Ad: mehmet ali, Numara: 723, Vize: 40, 2. Sinav: 60, Odev: 90, Final: 27, Yoklama: 6
Ad: Adem, Numara: 725, Vize: 40, 2. Sinav: 45, Odev: 50, Final: 55, Yoklama: 11
Ad: alara, Numara: 726, Vize: 83, 2. Sinav: 72, Odev: 54, Final: 36, Yoklama: 5
Ad: mehmet, Numara: 769, Vize: 54, 2. Sinav: 21, Odev: 46, Final: 98, Yoklama: 14
Ad: aydın, Numara: 784, Vize: 15, 2. Sinav: 56, Odev: 78, Final: 83, Yoklama: 10
Ad: galip, Numara: 785, Vize: 87, 2. Sinav: 56, Odev: 100, Final: 60, Yoklama: 12
Ad: uğur, Numara: 789, Vize: 78, 2. Sinav: 49, Odev: 94, Final: 41, Yoklama: 13
Ad: Damla, Numara: 808, Vize: 67, 2. Sinav: 90, Odev: 58, Final: 80, Yoklama: 13
Ad: hilmi, Numara: 828, Vize: 18, 2. Sinav: 79, Odev: 13, Final: 1, Yoklama: 11
Ad: Elif, Numara: 835, Vize: 7, 2. Sinav: 52, Odev: 88, Final: 13, Yoklama: 12
Ad: salih, Numara: 845, Vize: 45, 2. Sinav: 74, Odev: 22, Final: 45, Yoklama: 12
Ad: maraz ali, Numara: 846, Vize: 26, 2. Sinav: 94, Odev: 20, Final: 51, Yoklama: 5
Ad: ömer, Numara: 848, Vize: 74, 2. Sinav: 67, Odev: 43, Final: 76, Yoklama: 3
Ad: temel, Numara: 863, Vize: 25, 2. Sinav: 50, Odev: 75, Final: 60, Yoklama: 9
Ad: kaan, Numara: 889, Vize: 51, 2. Sinav: 11, Odev: 74, Final: 15, Yoklama: 2
Ad: büşra, Numara: 892, Vize: 43, 2. Sinav: 21, Odev: 40, Final: 50, Yoklama: 7
Ad: yavuz, Numara: 902, Vize: 3, 2. Sinav: 25, Odev: 49, Final: 75, Yoklama: 14
Ad: güliz, Numara: 905, Vize: 79, 2. Sinav: 13, Odev: 39, Final: 49, Yoklama: 8
Ad: Sümeyye, Numara: 908, Vize: 75, 2. Sinav: 68, Odev: 44, Final: 90, Yoklama: 7
Ad: abdulhey, Numara: 925, Vize: 10, 2. Sinav: 32, Odev: 97, Final: 72, Yoklama: 10
Ad: arda, Numara: 928, Vize: 49, 2. Sinav: 44, Odev: 4, Final: 30, Yoklama: 3
Ad: selim, Numara: 929, Vize: 93, 2. Sinav: 40, Odev: 100, Final: 10, Yoklama: 7
Ad: ceylan, Numara: 948, Vize: 55, 2. Sinav: 35, Odev: 87, Final: 11, Yoklama: 14
Ad: reyhan, Numara: 954, Vize: 25, 2. Sinav: 11, Odev: 31, Final: 100, Yoklama: 13
Ad: özcan, Numara: 958, Vize: 54, 2. Sinav: 15, Odev: 45, Final: 97, Yoklama: 11
Ad: jale, Numara: 961, Vize: 71, 2. Sinav: 88, Odev: 58, Final: 56, Yoklama: 3
Ad: ezel, Numara: 962, Vize: 58, 2. Sinav: 5, Odev: 79, Final: 67, Yoklama: 10
Ad: Berk, Numara: 963, Vize: 65, 2. Sinav: 48, Odev: 89, Final: 87, Yoklama: 5
Ad: ayşe, Numara: 964, Vize: 81, 2. Sinav: 32, Odev: 94, Final: 26, Yoklama: 9
Ad: hüseyin, Numara: 982, Vize: 84, 2. Sinav: 63, Odev: 75, Final: 80, Yoklama: 10
Ad: çakır, Numara: 983, Vize: 53, 2. Sinav: 64, Odev: 75, Final: 86, Yoklama: 11
Ad: gizem, Numara: 998, Vize: 38, 2. Sinav: 60, Odev: 82, Final: 16, Yoklama: 6
Ad: Ali, Numara: 999, Vize: 87, 2. Sinav: 23, Odev: 54, Final: 23, Yoklama: 11
